164,Dozent*in für Informatik in der postsekundären Bildung
165,Computersystemanalyst*in
166,Fachmann/-frau für die Unterstützung von Computeranwender*innen
167,Instandsetzer*in von Computern
168,Bediener*in von computergesteuerten Maschinenwerkzeugen
169,Concierge
170,Konservierungswissenschaftler*in
171,Bauinspektor*in
172,Bauarbeiter*in
173,Ungelernte/r Bauarbeiter*in
174,Bauleiter*in
175,Bediener*in von Continuous Minern
176,Installateur*in/Instandsetzer*in von Absperrkästen
177,Bediener*in von Förderern
178,Imbisskoch/-köchin
179,Kantinenkoch/-köchin
180,Restaurantkoch/-köchin
181,Koch/Köchin in einem Schnellrestaurant
182,Bediener*in von Kühl-/Gefrieranlagen
183,Justizvollzugsbeamte/r
184,Korrespondent*in
185,Kostenschätzer*in
186,Kostümwart*in
187,Angestellte/r eines Verleihunternehmens |
188,Bediener*in an der Theke
189,Kurier*in
190,Gerichtsreporter*in
191,Justizangestellte/r
192,Handwerkskünstler*in
193,Kran- und Turmkranführer*in
194,Kreditanalyst*in
195,Kreditgenehmiger*in
196,Kreditberater*in
197,Dozent*in für Strafrecht in der postsekundären Bildung
198,Verkehrshelfer*in
199,Bediener*in von Schleif-/Poliermaschinen
200,Kurator*in
201,Kundenbetreuer*in
202,Handschnitzer*in/-schneider*in
203,Bediener*in einer Schneidemaschine
204,Bediener*in einer Schneid-/Stanz-/Lochstanz-/Pressmaschine
205,Dateneingeber*in
206,Datenbankadministrator*in
207,Produktförderer/Produktförderin
208,Zahnarztassistent*in
209,Zahnhygieniker*in
210,Zahnlabortechniker*in
211,Zahnarzt/-ärztin
212,Drehkranführer*in
213,Desktop-Publisher*in
214,Kriminalist*in
215,Facharzt/-ärztin für Ultraschalluntersuchungen
216,Ernährungs-technische/r Assistent*in
217,Ernährungsberater*in
218,Kantinenausgabekraft
219,Religionsunterrichtsleiter*in
220,Tellerwäscher*in
221,Disponent*in
222,Straßenverkäufer*in
223,Schwimmbaggerführer*in
224,Bediener*in von Bohrwerkzeugen
225,Fahrer*in/Vertriebsmitarbeiter*in
226,Trockenbauer*in
227,Bediener*in einer Erdbohrmaschine
228,Dozent*in für Wirtschaft in der postsekundären Bildung
229,Ökonomist*in
230,Redakteur*in
231,Bildungsverwalter*in
232,Schulrat/-rätin für Primär- und Sekundarschule|
233,Schulrat/-rätin für die postsekundäre Bildung
234,Schulrat/-rätin für den Vorschulbereich
235,Dozent*in der postsekundären Bildung
236,Vertrauenslehrer*in
237,Instandsetzer*in von Elektromotoren
238,Monteur*in von Elektrogeräten
239,Elektrotechnische/r Zeichner*in
240,Elektrotechniker*in
241,Instandsetzer*in von Transportmittelelektrik
242,Instandsetzer*in von Industrieelektrik
243,Instandsetzer*in von Kraftwerkselektrik
244,Elektroingenieur*in
245,Installateur*in/Instandsetzer*in von Stromtrassen
246,Elektriker*in
247,Elektromechaniker*in
248,Monteur*in von elektromechanischen Geräten
249,Installateur*in/Instandsetzer*in von Kraftfahrzeugelektronik
250,Installateur*in/Instandsetzer*in von Unterhaltungselektronik
