SOC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
25-4012,0.762154,0.683978,0.675493,0.676418,0.722270,0.716069,0.713135,0.805146,0.805146,0.805146,0.805146,0.805146,0.805146,0.805146
25-4013,0.605752,0.611800,0.652154,0.652380,0.681760,0.672690,0.670496,0.685908,0.685908,0.685908,0.685908,0.685908,0.685908,0.685908
25-4021,0.687415,0.726930,0.708922,0.706176,0.749413,0.741040,0.761518,0.826196,0.826196,0.826196,0.826196,0.826196,0.826196,0.826196
25-4031,0.670958,0.685088,0.670707,0.671919,0.723629,0.717871,0.718155,0.756654,0.756654,0.756654,0.756654,0.756654,0.756654,0.756654
25-9011,0.625434,0.633627,0.692782,0.689265,0.718350,0.709442,0.701818,0.685905,0.685905,0.685905,0.685905,0.685905,0.685905,0.685905
25-9021,0.693411,0.699352,0.671699,0.671213,0.740246,0.733633,0.730856,0.771461,0.771461,0.771461,0.771461,0.771461,0.767774,0.767774
25-9031,0.785873,0.791932,0.765250,0.763844,0.797369,0.790016,0.785780,0.840662,0.840662,0.840662,0.840662,0.840662,0.840662,0.840662
25-9041,0.738887,0.743087,0.721841,0.741757,0.789058,0.784110,0.781802,0.812258,0.791069,0.791069,0.791069,0.791069,0.791069,0.791069
27-1011,0.716458,0.726191,0.716410,0.715217,0.765804,0.755828,0.751642,0.812567,0.812567,0.810369,0.810369,0.810369,0.810369,0.810369
27-1013,0.555934,0.563497,0.566750,0.575969,0.645289,0.635449,0.634271,0.667141,0.667141,0.667141,0.667141,0.667141,0.667141,0.667141
27-1021,0.632105,0.639622,0.653375,0.651640,0.698339,0.687838,0.685433,0.715363,0.715363,0.715363,0.715363,0.715363,0.715363,0.715363
27-1022,0.623572,0.630186,0.615725,0.612057,0.721833,0.710261,0.708724,0.774992,0.774992,0.774992,0.774992,0.774992,0.774992,0.774992
27-1023,0.629928,0.690893,0.681850,0.679603,0.709399,0.700946,0.696285,0.739298,0.739298,0.739298,0.739298,0.739298,0.724497,0.724497
27-1024,0.673583,0.684106,0.679577,0.673827,0.714402,0.791003,0.786332,0.807996,0.807996,0.807996,0.807996,0.807996,0.807996,0.806475
27-1025,0.712610,0.718414,0.703286,0.701697,0.738861,0.730134,0.732693,0.786076,0.786076,0.786076,0.786076,0.786076,0.786076,0.786076
27-1026,0.506886,0.518679,0.516405,0.630831,0.671365,0.664540,0.661899,0.687543,0.687543,0.687543,0.687543,0.687543,0.690673,0.690673
27-1027,0.611866,0.618256,0.601667,0.634338,0.659978,0.652041,0.649082,0.678042,0.678042,0.678042,0.678042,0.695782,0.695782,0.695782
27-2011,0.554968,0.561669,0.562637,0.741316,0.788718,0.785714,0.782031,0.798739,0.798739,0.798739,0.798739,0.798739,0.798739,0.798739
27-2012,0.728058,0.733405,0.714011,0.713536,0.751890,0.743748,0.737766,0.800666,0.815916,0.815916,0.815916,0.815916,0.815916,0.815916
27-2021,0.426527,0.429404,0.414554,0.411318,0.627808,0.622908,0.621074,0.675069,0.675069,0.675069,0.675069,0.675069,0.675069,0.651811
27-2022,0.619805,0.711063,0.697546,0.697332,0.734421,0.728061,0.725689,0.759809,0.743814,0.743814,0.743814,0.743814,0.743814,0.743814
27-2023,0.546245,0.552901,0.691131,0.690793,0.731784,0.728342,0.725960,0.745247,0.745247,0.745247,0.745247,0.737207,0.737207,0.737207
27-2031,0.473624,0.477446,0.482798,0.607742,0.654326,0.650984,0.650257,0.664417,0.664417,0.664417,0.664417,0.664417,0.664417,0.664417
27-2032,0.570850,0.576806,0.581571,0.580380,0.745833,0.739012,0.736710,0.754780,0.754780,0.754780,0.754780,0.754780,0.754780,0.754780
27-2041,0.697826,0.705993,0.700716,0.697261,0.754216,0.746563,0.741492,0.789466,0.789466,0.789466,0.789466,0.789466,0.789466,0.789466
27-2042,0.674966,0.678682,0.691317,0.688654,0.749900,0.742716,0.741150,0.777930,0.777930,0.777930,0.777930,0.777930,0.777930,0.777930
27-3011,0.727419,0.731260,0.742446,0.738522,0.781910,0.774837,0.766589,0.816206,0.816206,0.816206,0.816206,0.816206,0.816206,0.763643
27-3012,0.614804,0.622943,0.603952,0.622306,0.659979,0.653862,0.649076,0.701218,0.701218,0.701218,0.701218,0.701218,0.701218,0.737938
27-3021,0.756452,0.765850,0.757139,0.742221,0.785935,0.779508,0.770807,0.820719,0.820719,0.820719,0.820719,0.820719,0.820719,0.820719
27-3022,0.732234,0.735692,0.773930,0.769730,0.819677,0.813754,0.809473,0.842156,0.842156,0.842156,0.842156,0.838140,0.838140,0.838140
27-3031,0.747283,0.844968,0.835329,0.835381,0.875835,0.867097,0.846377,0.874291,0.874291,0.874291,0.874291,0.870490,0.870490,0.870490
27-3041,0.706627,0.779948,0.770448,0.769188,0.818021,0.811898,0.795560,0.828392,0.828392,0.828392,0.828392,0.828392,0.828392,0.828392
27-3042,0.691887,0.698992,0.742753,0.735789,0.770550,0.760202,0.754848,0.817813,0.817813,0.799120,0.799120,0.799120,0.799120,0.799120
27-3043,0.661545,0.676129,0.675764,0.786104,0.820404,0.812170,0.792672,0.849935,0.849935,0.849935,0.849935,0.849935,0.849935,0.849935
27-3091,0.735074,0.737913,0.732756,0.731247,0.784186,0.778520,0.775617,0.805876,0.805876,0.821794,0.821794,0.821794,0.821794,0.821794
27-4011,0.625434,0.633627,0.580918,0.578871,0.614323,0.608303,0.600742,0.663081,0.663081,0.663081,0.663081,0.663081,0.663081,0.663081
27-4012,0.528402,0.535024,0.593316,0.590791,0.629284,0.621342,0.609819,0.634634,0.634634,0.634634,0.634634,0.634634,0.634634,0.634634
27-4013,0.570049,0.577150,0.557729,0.554889,0.614642,0.697945,0.689802,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877
27-4014,0.529731,0.537682,0.519992,0.585300,0.619605,0.612095,0.604908,0.691583,0.691583,0.691583,0.691583,0.691583,0.691583,0.691583
27-4021,0.497262,0.505559,0.495133,0.568393,0.651740,0.642523,0.638871,0.682776,0.682776,0.682776,0.682776,0.698748,0.698748,0.698748
27-4031,0.514067,0.521264,0.584249,0.584525,0.624304,0.617475,0.610715,0.631022,0.631022,0.631022,0.631022,0.631022,0.631022,0.631022
27-4032,0.595589,0.604411,0.636028,0.636886,0.678638,0.669606,0.663696,0.764449,0.764449,0.764449,0.764449,0.764449,0.764449,0.764449
29-1011,0.638786,0.644434,0.692673,0.690886,0.727347,0.726091,0.723464,0.745875,0.745875,0.745875,0.754875,0.754875,0.754875,0.754875
29-1021,0.652563,0.658603,0.642579,0.641030,0.671001,0.664108,0.662015,0.710745,0.710745,0.710745,0.710745,0.707319,0.707319,0.707319
29-1022,0.636578,0.640156,0.617135,0.644936,0.683462,0.675925,0.673923,0.712678,0.712678,0.719104,0.719104,0.719104,0.719104,0.719104
29-1023,0.665205,0.668713,0.647492,0.681788,0.715172,0.706314,0.705163,0.755774,0.755774,0.753649,0.753649,0.753649,0.753649,0.753649
29-1024,0.649529,0.653139,0.627541,0.666615,0.697773,0.690032,0.687129,0.726409,0.726409,0.713411,0.713411,0.713411,0.713411,0.713411
29-1031,0.764614,0.773770,0.756283,0.757382,0.799428,0.794781,0.782613,0.822431,0.822431,0.822431,0.822431,0.841352,0.841352,0.841352
29-1041,0.673857,0.680762,0.665164,0.661264,0.710209,0.728258,0.725176,0.752589,0.752589,0.752589,0.752589,0.764737,0.764737,0.764737
29-1051,0.726652,0.745970,0.725581,0.729947,0.784016,0.779260,0.750134,0.785188,0.785188,0.785188,0.793214,0.793214,0.793214,0.793214
29-1061,0.650156,0.654458,0.629719,0.644371,0.684008,0.675963,0.672760,0.732787,0.732787,0.726106,0.726106,0.726106,0.726106,0.726106
29-1062,0.648583,0.654330,0.629965,0.740218,0.782196,0.775801,0.774546,0.822830,0.819725,0.819725,0.819725,0.819725,0.819725,0.819725
29-1063,0.648583,0.654330,0.629965,0.729047,0.769010,0.761728,0.757687,0.816099,0.816099,0.819026,0.819026,0.819026,0.819026,0.819026
29-1064,0.648583,0.654330,0.629965,0.686318,0.728276,0.720756,0.716418,0.773178,0.771653,0.771653,0.771653,0.771653,0.771653,0.771653
29-1065,0.648583,0.654330,0.629965,0.745300,0.792078,0.785655,0.784353,0.831414,0.831414,0.823687,0.823687,0.823687,0.823687,0.823687
29-1066,0.788771,0.788925,0.770040,0.765049,0.801868,0.837652,0.835294,0.862670,0.862670,0.862670,0.862670,0.859601,0.859601,0.859601
29-1067,0.585391,0.594819,0.571045,0.649100,0.693977,0.686766,0.683919,0.734484,0.731101,0.731101,0.731101,0.731101,0.731101,0.731101
29-1071,0.691734,0.696414,0.737935,0.739790,0.790752,0.759456,0.757664,0.781185,0.781185,0.781185,0.781185,0.777807,0.777807,0.777807
29-1081,0.626635,0.630439,0.611655,0.691449,0.734140,0.728097,0.724725,0.762693,0.769430,0.769430,0.769430,0.769430,0.769430,0.769430
29-1122,0.710696,0.718377,0.705056,0.702774,0.746489,0.737267,0.735174,0.757476,0.757476,0.757476,0.757476,0.767630,0.767630,0.767630
29-1123,0.666361,0.673297,0.662540,0.662946,0.708322,0.714741,0.712228,0.735494,0.735494,0.735494,0.742667,0.742667,0.742667,0.742667
29-1124,0.562128,0.571586,0.616392,0.618358,0.669809,0.641232,0.638667,0.662395,0.662395,0.662395,0.673996,0.673996,0.673996,0.673996
29-1125,0.695014,0.702100,0.699704,0.697642,0.737070,0.727204,0.724726,0.743008,0.743008,0.743008,0.743008,0.743008,0.743008,0.753013
29-1126,0.639975,0.647977,0.631894,0.630834,0.679402,0.675942,0.658678,0.682204,0.682204,0.682204,0.687718,0.687718,0.687718,0.687718
29-1127,0.760605,0.756974,0.740328,0.741399,0.792254,0.785984,0.772530,0.803502,0.803502,0.803502,0.823087,0.823087,0.823087,0.823087
29-1131,0.647824,0.654482,0.646411,0.647245,0.685439,0.678638,0.693626,0.745040,0.745040,0.745040,0.733445,0.733445,0.733445,0.733445
29-1141,0.637858,0.698970,0.683839,0.680428,0.727811,0.691717,0.689353,0.716005,0.716005,0.716005,0.729431,0.729431,0.729431,0.729431
29-1181,0.760605,0.765044,0.741788,0.688289,0.722928,0.716037,0.712927,0.753176,0.753176,0.753176,0.753176,0.759103,0.759103,0.759103
29-2011,0.640992,0.598958,0.578869,0.580398,0.634011,0.648871,0.645352,0.676204,0.676204,0.676204,0.680661,0.680661,0.680661,0.680661
29-2012,0.530150,0.615316,0.592732,0.593269,0.647266,0.641778,0.630736,0.663425,0.663425,0.663425,0.663425,0.675596,0.675596,0.675596
29-2021,0.654266,0.661838,0.653964,0.651995,0.698761,0.694067,0.691067,0.714452,0.714452,0.714452,0.709121,0.709121,0.709121,0.709121
29-2031,0.633427,0.640221,0.635115,0.633094,0.673607,0.681506,0.677613,0.698611,0.698611,0.698611,0.698611,0.682713,0.682713,0.682713
29-2032,0.609027,0.617567,0.597982,0.596252,0.640796,0.653133,0.650731,0.670211,0.670211,0.670211,0.680393,0.680393,0.680393,0.680393
29-2033,0.652930,0.660107,0.616320,0.616162,0.657615,0.669228,0.665535,0.684932,0.684932,0.684932,0.692729,0.692729,0.692729,0.692729
29-2034,0.602855,0.610700,0.593478,0.592921,0.645074,0.644640,0.640485,0.660654,0.660654,0.660654,0.680665,0.680665,0.680665,0.680665
29-2041,0.576000,0.582015,0.568024,0.566852,0.604828,0.637454,0.632004,0.653578,0.653578,0.653578,0.649258,0.649258,0.649258,0.649258
29-2051,0.724727,0.731892,0.667920,0.667637,0.722386,0.674672,0.673633,0.702266,0.702266,0.702266,0.710361,0.710361,0.710361,0.710361
29-2052,0.665096,0.704230,0.680461,0.684485,0.742401,0.738581,0.708993,0.731161,0.731161,0.731161,0.738303,0.738303,0.738303,0.738303
29-2053,0.721473,0.722939,0.671734,0.670368,0.708363,0.705361,0.702994,0.726718,0.726718,0.726718,0.726718,0.733145,0.733145,0.733145
29-2054,0.638454,0.644703,0.625402,0.620706,0.654539,0.646626,0.635113,0.681263,0.681263,0.681263,0.681263,0.686894,0.686894,0.686894
29-2055,0.605738,0.613549,0.598930,0.597655,0.642400,0.631703,0.629326,0.651131,0.651131,0.651131,0.656992,0.656992,0.656992,0.656992
29-2061,0.665149,0.671698,0.653078,0.648215,0.687373,0.694289,0.692164,0.713682,0.713682,0.713682,0.723464,0.723464,0.723464,0.723464
29-2071,0.712005,0.722871,0.704123,0.699748,0.752079,0.760355,0.755427,0.771720,0.771720,0.771720,0.797508,0.797508,0.797508,0.797508
29-2081,0.698526,0.700632,0.697463,0.695184,0.738708,0.732707,0.694930,0.735616,0.735616,0.735616,0.735616,0.735616,0.743887,0.743887
29-2091,0.593902,0.601828,0.578049,0.649397,0.679181,0.670447,0.667841,0.716951,0.716951,0.715482,0.715482,0.715482,0.715482,0.715482
29-9011,0.620826,0.627257,0.600371,0.602350,0.707559,0.699796,0.696861,0.743545,0.743545,0.725871,0.725871,0.725871,0.725871,0.725871
29-9091,0.587290,0.593864,0.692657,0.688422,0.714400,0.706628,0.704024,0.723361,0.723361,0.723361,0.723361,0.719477,0.719477,0.719477
31-1011,0.644460,0.646159,0.624037,0.624152,0.665469,0.662191,0.659028,0.694367,0.694367,0.694367,0.694367,0.702050,0.702050,0.702050
31-1013,0.580757,0.689561,0.680946,0.675644,0.719224,0.714002,0.711086,0.708999,0.708999,0.708999,0.708999,0.709596,0.709596,0.709596
31-2011,0.655709,0.658252,0.654942,0.651882,0.688847,0.680053,0.677379,0.733783,0.733783,0.733783,0.733783,0.734743,0.734743,0.734743
31-2012,0.655709,0.658252,0.645757,0.629021,0.662789,0.657194,0.653743,0.701298,0.701298,0.721035,0.721035,0.721035,0.721035,0.721035
31-2021,0.684420,0.678176,0.665139,0.662849,0.697140,0.698068,0.694946,0.719617,0.719617,0.719617,0.717867,0.717867,0.717867,0.717867
31-2022,0.684420,0.687194,0.639897,0.639406,0.676770,0.662512,0.660042,0.676215,0.676215,0.676215,0.693273,0.693273,0.693273,0.693273
31-9091,0.628003,0.635404,0.621861,0.622798,0.661947,0.654004,0.643988,0.683418,0.683418,0.683418,0.687498,0.687498,0.687498,0.687498
31-9092,0.571384,0.701522,0.682261,0.679524,0.724978,0.739765,0.737714,0.759082,0.759082,0.759082,0.744060,0.744060,0.744060,0.744060
31-9093,0.472028,0.477903,0.614292,0.608791,0.637275,0.629499,0.626749,0.622101,0.622101,0.622101,0.622101,0.632754,0.632754,0.632754
31-9096,0.523948,0.531140,0.623544,0.619805,0.664343,0.659300,0.639111,0.677419,0.677419,0.677419,0.693406,0.693406,0.693406,0.693406
33-1012,0.646219,0.652925,0.638769,0.637732,0.673892,0.693012,0.687100,0.710826,0.710826,0.710826,0.710826,0.710826,0.710826,0.716226
33-1021,0.569167,0.574852,0.604718,0.602501,0.634194,0.628239,0.606620,0.639536,0.639536,0.639536,0.639536,0.639536,0.639536,0.639536
33-2011,0.446144,0.544274,0.534260,0.531064,0.563280,0.558152,0.570624,0.592607,0.592607,0.592607,0.592607,0.592607,0.592607,0.592607
33-2021,0.555505,0.563465,0.647430,0.642429,0.672131,0.664106,0.639084,0.674008,0.674008,0.674008,0.674008,0.674008,0.674008,0.674008
33-2022,0.552338,0.558692,0.540631,0.536525,0.679442,0.672668,0.665274,0.700833,0.700833,0.700833,0.700833,0.700833,0.700833,0.700833
33-3011,0.573688,0.716160,0.711516,0.709918,0.745560,0.741881,0.733227,0.741025,0.728565,0.728565,0.728565,0.728565,0.728565,0.728565
33-3012,0.545745,0.624974,0.613073,0.613763,0.654717,0.654865,0.649125,0.665311,0.665311,0.665311,0.665311,0.665311,0.665311,0.676399
33-3021,0.657662,0.665478,0.653331,0.652807,0.697428,0.694791,0.688692,0.706534,0.706534,0.706534,0.706534,0.706534,0.706534,0.714449
33-3031,0.604035,0.609862,0.591216,0.621236,0.654456,0.649794,0.645697,0.667519,0.667519,0.667519,0.667519,0.667301,0.667301,0.667301
33-3041,0.561420,0.566393,0.551287,0.624255,0.673640,0.670567,0.665756,0.658070,0.658070,0.658070,0.658070,0.658070,0.658070,0.659607
33-3051,0.615560,0.621255,0.608611,0.608573,0.648346,0.649398,0.643449,0.658892,0.658892,0.658892,0.658892,0.658892,0.658892,0.681334
33-3052,0.567068,0.572540,0.551654,0.622235,0.660253,0.655797,0.649147,0.651970,0.651970,0.651970,0.651970,0.651970,0.651970,0.651970
33-9011,0.596188,0.603662,0.581581,0.641392,0.673668,0.669216,0.663415,0.684317,0.684317,0.684317,0.684317,0.684317,0.684317,0.684317
33-9021,0.623042,0.628244,0.603648,0.600324,0.740684,0.732497,0.728264,0.764917,0.764917,0.764917,0.764917,0.764917,0.769027,0.769027
33-9032,0.498459,0.641743,0.631453,0.628164,0.674332,0.635437,0.633088,0.642533,0.642533,0.642533,0.642533,0.642533,0.642533,0.685433
33-9091,0.501652,0.504483,0.490939,0.488580,0.649325,0.647871,0.647253,0.684014,0.684014,0.684014,0.684014,0.684014,0.684014,0.675086
33-9092,0.492047,0.498341,0.629266,0.625390,0.668498,0.663869,0.662196,0.705476,0.670627,0.670627,0.670627,0.670627,0.670627,0.670627
35-1011,0.603009,0.610992,0.588671,0.587135,0.648425,0.642106,0.640054,0.691826,0.691826,0.691826,0.702722,0.702722,0.702722,0.702722
35-1012,0.671206,0.698120,0.680070,0.681219,0.717105,0.710696,0.708774,0.703496,0.703496,0.703496,0.703496,0.703496,0.703496,0.703496
35-2011,0.559624,0.561128,0.603548,0.598998,0.620676,0.615910,0.610037,0.647314,0.688452,0.688452,0.688452,0.688452,0.688452,0.688452
35-2012,0.645508,0.652865,0.628914,0.607936,0.642984,0.637549,0.635975,0.676720,0.676720,0.676171,0.676171,0.676171,0.676171,0.676171
35-2014,0.588827,0.595377,0.579205,0.581039,0.626939,0.623753,0.622069,0.635595,0.635595,0.635595,0.635595,0.635595,0.635595,0.635595
35-2015,0.582542,0.579761,0.560133,0.553229,0.593471,0.586270,0.585087,0.661016,0.661016,0.661016,0.661016,0.661016,0.661016,0.661016
35-2021,0.470520,0.607898,0.592878,0.591185,0.626150,0.620887,0.619471,0.633227,0.633227,0.633227,0.633227,0.633227,0.633227,0.633227
35-3011,0.531427,0.668654,0.655297,0.654914,0.703688,0.700883,0.698652,0.689030,0.689030,0.689030,0.689030,0.689030,0.689030,0.689030
35-3021,0.545939,0.662396,0.644240,0.641495,0.675793,0.672755,0.668436,0.681516,0.681516,0.681516,0.681516,0.681516,0.681516,0.681516
35-3022,0.612756,0.660482,0.642539,0.641351,0.678194,0.673708,0.671484,0.714355,0.714355,0.714355,0.714355,0.714355,0.714355,0.714355
35-3031,0.527462,0.690193,0.672514,0.671621,0.709931,0.704919,0.703203,0.697748,0.697748,0.697748,0.697748,0.697748,0.697748,0.697748
35-3041,0.575570,0.579216,0.551626,0.553266,0.647963,0.639684,0.638327,0.673036,0.673036,0.673036,0.673036,0.674719,0.674719,0.674719
35-9011,0.510497,0.515846,0.497593,0.494116,0.608733,0.603668,0.602729,0.623521,0.623521,0.623521,0.623521,0.657223,0.657223,0.657223
35-9021,0.409213,0.422287,0.409550,0.413253,0.547621,0.539978,0.538422,0.563316,0.563316,0.563316,0.563316,0.589212,0.589212,0.589212
35-9031,0.750050,0.706500,0.689201,0.689452,0.745969,0.742022,0.739797,0.724459,0.724459,0.724459,0.724459,0.724459,0.724459,0.724459
37-1011,0.752138,0.754207,0.728517,0.618068,0.630122,0.624224,0.619045,0.667237,0.685083,0.685083,0.685083,0.685083,0.685083,0.685083
37-1012,0.702494,0.709621,0.684257,0.615389,0.610398,0.601002,0.599165,0.638671,0.638671,0.638671,0.638671,0.638671,0.676838,0.676838
37-2011,0.368167,0.375412,0.362553,0.551026,0.583330,0.577027,0.573053,0.587519,0.587519,0.587519,0.587519,0.596000,0.596000,0.596000
37-2012,0.458861,0.466174,0.452571,0.601786,0.624964,0.619979,0.612835,0.647618,0.647618,0.665937,0.665937,0.665937,0.665937,0.665937
37-2021,0.562749,0.569463,0.539462,0.615933,0.648325,0.644218,0.641254,0.652727,0.652727,0.652727,0.652727,0.652727,0.626312,0.626312
37-3011,0.422020,0.432443,0.413824,0.511176,0.545270,0.540067,0.537916,0.560786,0.560786,0.560786,0.560786,0.560786,0.552310,0.552310
37-3012,0.441971,0.448000,0.423784,0.419262,0.603528,0.596457,0.595471,0.621885,0.621885,0.621885,0.621885,0.621885,0.623399,0.623399
37-3013,0.393264,0.402751,0.392374,0.387630,0.558540,0.552856,0.550650,0.575204,0.575204,0.575204,0.575204,0.575204,0.575204,0.575204
39-1011,0.736953,0.741842,0.725776,0.725149,0.772064,0.765572,0.763834,0.815524,0.815524,0.815524,0.815524,0.818368,0.818368,0.818368
39-1021,0.683998,0.690105,0.667511,0.664153,0.714135,0.707604,0.704265,0.733381,0.733381,0.733381,0.733381,0.733381,0.778439,0.778439
39-2011,0.620245,0.628866,0.616904,0.625098,0.659089,0.653143,0.651395,0.674167,0.674167,0.674167,0.674167,0.697267,0.697267,0.697267
39-2021,0.529333,0.535624,0.618613,0.618335,0.658781,0.653639,0.650887,0.679836,0.669006,0.669006,0.669006,0.669006,0.669006,0.669006
39-3011,0.559325,0.567632,0.659648,0.663482,0.724735,0.723208,0.719438,0.726440,0.734132,0.734132,0.734132,0.734132,0.734132,0.734132
39-3012,0.559325,0.567632,0.547133,0.667840,0.724420,0.722969,0.718552,0.736847,0.736847,0.736847,0.736847,0.754698,0.754698,0.754698
39-3021,0.387618,0.391759,0.386582,0.530063,0.562554,0.556699,0.552954,0.570665,0.570665,0.570665,0.570665,0.570665,0.570665,0.570665
39-3031,0.616992,0.620594,0.637080,0.638495,0.688978,0.683723,0.681460,0.719997,0.719997,0.719997,0.719997,0.719997,0.709227,0.709227
39-3091,0.493133,0.500260,0.648333,0.645964,0.692485,0.688056,0.686476,0.684944,0.694018,0.694018,0.694018,0.694018,0.694018,0.694018
39-3092,0.563423,0.574867,0.562889,0.660228,0.695038,0.683726,0.679901,0.688100,0.688100,0.688100,0.688100,0.688100,0.688100,0.681968
39-3093,0.571295,0.578023,0.679223,0.674417,0.731214,0.726165,0.724175,0.747377,0.751662,0.751662,0.751662,0.751662,0.751662,0.751662
39-4011,0.558238,0.562324,0.644717,0.640239,0.666295,0.659044,0.656664,0.705511,0.705511,0.680026,0.680026,0.680026,0.680026,0.680026
39-4021,0.543146,0.549052,0.683755,0.679543,0.708634,0.703730,0.699910,0.726781,0.726781,0.726781,0.726781,0.713261,0.713261,0.713261
39-5011,0.630988,0.635014,0.617603,0.646573,0.687433,0.680108,0.678831,0.709231,0.709231,0.709231,0.709231,0.709231,0.709231,0.709231
39-5012,0.658685,0.666487,0.652189,0.653550,0.695424,0.685977,0.684956,0.717544,0.717544,0.717544,0.717544,0.717544,0.717544,0.713677
39-5091,0.536310,0.544740,0.540640,0.537957,0.595440,0.679849,0.678471,0.716910,0.716910,0.716910,0.716910,0.716910,0.716910,0.716910
39-5092,0.585515,0.593732,0.582345,0.676995,0.717542,0.711427,0.710908,0.746152,0.746152,0.746152,0.746152,0.746152,0.725281,0.725281
39-6011,0.594486,0.648552,0.635423,0.632278,0.677077,0.670385,0.667496,0.642781,0.642781,0.642781,0.642781,0.642781,0.642781,0.642781
39-7011,0.610629,0.615505,0.739778,0.735517,0.782564,0.778052,0.776226,0.807168,0.783173,0.783173,0.783173,0.783173,0.783173,0.783173
39-7012,0.594125,0.599688,0.580021,0.580855,0.738137,0.727937,0.725802,0.773422,0.773422,0.773422,0.773422,0.773422,0.773422,0.773422
39-9011,0.657306,0.681076,0.672395,0.667413,0.711328,0.707569,0.706316,0.732661,0.732661,0.732661,0.732661,0.732661,0.732661,0.732661
39-9021,0.711042,0.644441,0.632007,0.629308,0.676072,0.670880,0.669889,0.706732,0.706732,0.706732,0.706732,0.702593,0.702593,0.702593
39-9031,0.580779,0.587535,0.650680,0.646534,0.677436,0.670980,0.654951,0.687558,0.687558,0.687558,0.687558,0.683828,0.683828,0.683828
39-9032,0.663122,0.722116,0.706891,0.702253,0.738489,0.731531,0.706929,0.745798,0.745798,0.745798,0.745798,0.745798,0.745798,0.745798
39-9041,0.696693,0.704049,0.782825,0.780804,0.818818,0.812754,0.810267,0.839914,0.780835,0.780835,0.780835,0.780835,0.780835,0.780835
41-1011,0.663347,0.671258,0.648764,0.652429,0.697727,0.690892,0.689647,0.736128,0.736128,0.736128,0.736128,0.736128,0.736128,0.736128
41-1012,0.789146,0.793553,0.762797,0.767895,0.813346,0.804996,0.798971,0.838539,0.838539,0.849853,0.849853,0.849853,0.849853,0.849853
41-2011,0.592420,0.614963,0.593931,0.596332,0.656410,0.652321,0.647809,0.721608,0.721608,0.721608,0.721608,0.721608,0.721608,0.721608
41-2021,0.665778,0.676889,0.656000,0.657333,0.707798,0.704768,0.701980,0.728917,0.728917,0.728917,0.728917,0.728917,0.728917,0.728917
41-2022,0.556123,0.655924,0.635414,0.634278,0.683957,0.675488,0.672376,0.699846,0.699846,0.699846,0.699846,0.699846,0.686076,0.686076
41-2031,0.685604,0.695671,0.675772,0.676644,0.733054,0.728221,0.717474,0.748107,0.748107,0.748107,0.748107,0.748107,0.748107,0.748107
41-3011,0.748925,0.752285,0.765961,0.766646,0.807516,0.800016,0.772018,0.822758,0.822758,0.822758,0.822758,0.822758,0.822758,0.822758
41-3021,0.759142,0.767470,0.748645,0.751749,0.805514,0.797753,0.815855,0.859152,0.859152,0.859152,0.859152,0.859152,0.859152,0.859152
41-3031,0.775098,0.781240,0.743802,0.801622,0.859417,0.850397,0.849583,0.888212,0.888212,0.888212,0.888212,0.888212,0.877059,0.877059
41-3041,0.766110,0.775014,0.754493,0.753918,0.804630,0.797808,0.794630,0.847148,0.847148,0.847148,0.847148,0.847148,0.847148,0.841857
41-4011,0.711576,0.713977,0.686327,0.680716,0.765278,0.756051,0.752171,0.810236,0.810236,0.810236,0.810236,0.812459,0.812459,0.812459
41-4012,0.669426,0.678151,0.657505,0.704585,0.740021,0.731194,0.725975,0.777708,0.777708,0.800907,0.800907,0.800907,0.800907,0.800907
41-9011,0.669877,0.677263,0.661230,0.657691,0.704397,0.701027,0.697722,0.733772,0.733772,0.733772,0.733772,0.733772,0.733772,0.726603
41-9012,0.584598,0.592704,0.597915,0.596584,0.680409,0.678144,0.676720,0.714833,0.714833,0.714833,0.714833,0.714833,0.714833,0.714833
41-9022,0.766869,0.721387,0.701195,0.708562,0.773246,0.769378,0.773142,0.790644,0.790644,0.790644,0.790644,0.790644,0.790644,0.790644
41-9031,0.610670,0.616750,0.592083,0.677034,0.711653,0.701081,0.696000,0.770407,0.770407,0.770407,0.782231,0.782231,0.782231,0.782231
41-9041,0.683983,0.688230,0.794689,0.791171,0.835148,0.827023,0.822123,0.877059,0.877059,0.877059,0.877059,0.877059,0.877059,0.877059
41-9091,0.683983,0.688230,0.665293,0.664019,0.876398,0.873708,0.871479,0.895764,0.895764,0.895764,0.895764,0.895764,0.895764,0.895764
43-1011,0.744757,0.751739,0.726385,0.703587,0.792824,0.785074,0.781655,0.838550,0.838550,0.838550,0.838550,0.838550,0.812634,0.812634
43-2011,0.648738,0.652001,0.725217,0.727650,0.784233,0.781203,0.774823,0.803421,0.803421,0.803421,0.787643,0.787643,0.787643,0.787643
43-2021,0.594723,0.607053,0.597534,0.622882,0.778351,0.774800,0.766820,0.819392,0.819392,0.819392,0.819392,0.819392,0.819392,0.819392
43-3011,0.722457,0.783802,0.759949,0.757063,0.796343,0.786802,0.780067,0.859456,0.859456,0.859456,0.859456,0.859456,0.859456,0.859456
43-3021,0.635117,0.643009,0.615832,0.750194,0.820246,0.819060,0.817914,0.838484,0.838484,0.838484,0.838484,0.836071,0.836071,0.836071
43-3031,0.678909,0.768632,0.736794,0.744813,0.809378,0.804873,0.798385,0.846794,0.846794,0.846794,0.846794,0.846794,0.846794,0.846794
